order_item_id,order_id,product_id,quantity,price
1,10811,1034,2,12860
2,28613,452,2,2857
3,6862,534,3,9136
4,22951,1361,2,4606
5,15866,1677,5,9000
6,8573,602,2,3081
7,9601,1322,1,21119
8,21311,901,1,21422
9,1026,1066,3,14646
10,22245,382,1,21906
11,1785,1141,5,24049
12,14348,148,5,17842
13,4942,571,1,14103
14,26314,32,1,12329
15,27726,1790,2,21876
16,8928,1713,4,19975
17,2303,1497,5,13903
18,18422,324,2,15806
19,16171,579,2,14710
20,25379,1804,4,20722
21,201,527,3,23915
22,5062,465,3,7237
23,28574,97,5,5659
24,22476,148,4,9157
25,7214,1628,4,3627
26,3287,1726,1,9575
27,1013,1509,3,20626
28,19003,1916,2,22456
29,2474,974,4,18655
30,6114,345,1,8819
31,20483,1464,5,11849
32,14779,225,4,5426
33,4473,53,5,9992
34,14878,1082,2,10652
35,13668,613,1,13447
36,8881,85,5,14554
37,14291,695,3,24600
38,28693,300,3,22749
39,2475,573,1,10789
40,27994,1054,3,9493
41,8544,1101,5,4051
42,29763,253,3,12075
43,14862,1114,4,18583
44,24350,814,1,21819
45,27557,1463,2,8957
46,16869,1386,5,14363
47,8489,1344,1,12931
48,12209,78,1,3714
49,2309,1385,1,11493
50,4519,588,5,12252
51,2911,961,1,18706
52,3622,169,4,9403
53,9096,327,2,12678
54,3480,1816,2,12729
55,3902,267,3,13861
56,8563,453,5,11746
57,3841,52,2,2688
58,27082,1533,5,12389
59,23995,1890,5,19846
60,22484,572,3,5045
61,16661,1582,4,12775
62,27596,236,1,18570
63,2511,210,1,15338
64,22030,1497,2,8659
65,19210,1515,2,7298
66,28282,1459,2,12167
67,17484,929,3,3718
68,27985,545,5,24946
69,29676,634,4,7615
70,16023,344,3,4101
71,4728,443,3,11899
72,14943,869,3,9052
73,10970,1613,1,17037
74,17203,1383,5,21560
75,11237,237,2,3524
76,23255,12,5,16766
77,16454,135,1,22551
78,12628,134,4,8798
79,26937,769,5,6718
80,3625,261,4,22426
81,15199,447,2,6655
82,11966,1022,4,18573
83,18041,95,2,23801
84,21670,1333,3,13763
85,20732,1908,5,10783
86,21564,928,2,6181
87,16147,237,1,6573
88,23498,1697,5,18451
89,16644,714,5,2181
90,24141,191,2,13366
91,15064,236,5,3273
92,18809,1818,2,9308
93,7397,38,4,20722
94,2427,1530,4,2961
95,27450,737,3,9961
96,12749,934,4,14557
97,19151,576,1,12882
98,22959,276,1,18254
99,27589,1306,1,5771
100,15301,1539,4,9167
101,21168,599,1,8740
102,11393,1394,5,21705
103,2910,1140,2,14336
104,26097,1184,5,11268
105,14828,1352,3,20250
106,2087,1549,3,14516
107,20691,1526,4,14923
108,4143,857,2,11870
109,24167,280,2,11722
110,13106,1838,1,19918
111,8653,1895,1,12650
112,20766,1211,2,3137
113,28871,204,2,19517
114,22962,810,3,19635
115,28609,1561,2,16557
116,1534,1364,1,7133
117,18657,517,1,7447
118,24101,5,2,22243
119,18871,351,2,11297
120,14416,398,5,4586
121,29016,529,1,11321
122,15546,1361,3,1659
123,6084,1262,5,7243
124,12428,1372,5,24972
125,15498,1042,2,23432
126,21999,564,4,20474
127,13031,1650,2,17005
128,7889,1898,4,17646
129,11629,1826,4,5704
130,6853,904,5,22700
131,8464,1811,3,8844
132,13837,1838,2,15672
133,21359,661,3,11184
134,17558,1521,2,15801
135,16075,879,4,23527
136,27746,1670,4,12957
137,1592,598,4,13568
138,21005,462,3,14747
139,25279,1329,3,20588
140,2136,1357,3,23689
141,26793,303,2,5378
142,27580,1540,3,22554
143,732,1297,3,18919
144,2757,1369,1,6822
145,20480,582,3,20582
146,22065,1520,5,23916
147,24421,484,4,5752
148,27235,1547,2,21542
149,22414,377,2,23382
150,5531,1862,1,11141
151,185,1874,4,13842
152,15375,1135,5,8908
153,6183,438,1,3329
154,14922,769,4,15306
155,2912,1028,4,21494
156,1851,1696,2,22473
157,16341,368,1,2397
158,10956,1100,3,3267
159,24625,1803,1,14518
160,19597,1808,3,13505
161,1699,746,3,9512
162,20534,418,2,24297
163,22492,824,4,14145
164,11521,1187,1,13055
165,22851,632,1,12282
166,10539,404,2,9435
167,8832,1802,4,6015
168,17223,827,3,3691
169,29113,1505,4,5813
170,12323,1884,4,11413
171,5611,1662,1,6508
172,26515,449,3,14781
173,28231,1882,5,15225
174,22958,171,2,7573
175,15061,1422,3,20519
176,8030,1607,1,9375
177,11054,450,5,18290
178,15810,1287,4,10736
179,22498,344,1,23323
180,986,996,5,22291
181,21322,1024,1,20634
182,23888,1374,4,19389
183,18093,1310,5,3809
184,3795,1921,1,13840
185,9981,363,4,20384
186,21306,163,2,8948
187,17981,1918,5,10692
188,27863,1576,5,10811
189,5878,894,5,19596
190,12427,309,2,15615
191,14522,462,1,5653
192,1373,173,3,19717
193,10945,1496,5,9276
194,25483,838,4,14156
195,9273,388,4,9563
196,7391,500,5,17542
197,28823,1236,4,5800
198,8894,1428,3,15342
199,20456,451,2,3461
200,877,1472,4,4672
201,15550,52,2,10361
202,8255,745,4,8223
203,8071,1910,1,22440
204,26442,84,3,21375
205,22412,1209,2,21261
206,25399,803,5,23428
207,4693,1492,2,9269
208,12151,1496,4,14201
209,18067,1322,4,24733
210,15786,350,4,14816
211,13003,1564,3,17058
212,9929,675,4,3931
213,214,1474,5,16506
214,12832,482,2,7683
215,13251,465,5,14840
216,4635,1732,2,10516
217,26328,200,1,3713
218,6026,219,1,2714
219,4174,1635,3,1759
220,10337,1461,5,2883
221,12173,224,4,9767
222,27688,730,1,15310
223,5258,1411,3,2736
224,28036,1903,3,12806
225,28355,561,4,18151
226,11112,974,4,16218
227,22375,453,5,7764
228,3308,1086,1,14503
229,6322,277,2,14508
230,6706,828,2,6772
231,1039,273,3,23677
232,27531,278,3,3638
233,27750,223,4,22033
234,9967,133,5,15342
235,24869,744,4,23208
236,28379,1764,3,24445
237,28070,1287,1,12728
238,21629,230,1,9942
239,2260,88,2,16843
240,7841,837,2,21676
241,2498,710,4,20335
242,14356,1125,3,19321
243,24505,691,4,2670
244,5557,178,4,9889
245,19132,639,3,24571
246,14374,932,3,2305
247,28419,674,1,15362
248,15183,274,3,7494
249,21616,912,1,15991
250,8023,63,5,9139
251,22918,1801,4,13288
252,29329,1470,2,24847
253,5701,1653,1,8388
254,7614,586,2,2359
255,11275,1224,1,4032
256,5639,1030,3,19016
257,21401,140,2,7432
258,27442,336,4,23986
259,24344,1314,3,23204
260,9354,1458,5,11780
261,6691,1486,3,20332
262,15531,3,3,7507
263,23895,258,3,1776
264,28520,892,5,20199
265,19923,1585,3,19535
266,15612,991,2,13933
267,468,713,1,23418
268,12565,990,3,18777
269,7604,424,4,20941
270,23927,1430,3,16699
271,17965,1230,3,13267
272,3982,1623,2,22255
273,7531,1924,1,5029
274,17756,222,2,24364
275,25704,1794,2,21598
276,23413,113,4,11328
277,4296,623,5,12758
278,2790,1099,4,14147
279,21831,1340,4,12439
280,24370,866,1,16380
281,15791,739,4,21528
282,10446,1139,3,21240
283,24815,1159,4,17485
284,28620,731,1,2393
285,23028,1511,1,20337
286,18981,1712,2,20650
287,16023,1195,4,18422
288,27113,1601,2,1660
289,6244,1468,5,4118
290,1545,954,4,9855
291,13111,878,2,7920
292,1783,1691,5,7234
293,2864,770,2,11898
294,15713,1780,3,10085
295,28359,1678,4,4822
296,16466,906,5,23982
297,12808,1413,4,2155
298,13612,1515,1,16498
299,17826,1036,3,19362
300,801,1712,3,5996
301,17351,619,2,1588
302,28149,1321,5,14874
303,17246,451,5,22579
304,20452,561,2,13122
305,24603,7,1,10123
306,16078,38,4,16144
307,10438,907,3,24140
308,24225,1235,2,8967
309,13612,1889,5,10079
310,28659,912,2,17564
311,6655,496,3,18626
312,17880,955,1,15129
313,28967,389,5,21713
314,28251,1065,5,18697
315,1808,352,5,4301
316,6725,759,3,21099
317,6461,1007,3,14634
318,12927,468,2,12794
319,1605,865,3,2586
320,26701,1896,1,11361
321,9600,1564,4,5855
322,28225,911,1,5403
323,27185,552,2,17160
324,14062,777,5,8835
325,17488,827,3,1953
326,26992,216,2,19927
327,12399,911,5,5771
328,4452,120,3,16582
329,24046,426,1,9852
330,9588,287,3,17868
331,4675,1669,1,14013
332,14040,237,5,14707
333,24732,408,5,24048
334,21583,1284,4,17710
335,25607,389,2,10068
336,23730,1775,1,19080
337,10935,178,5,24413
338,21506,1015,4,5817
339,13020,1541,5,19794
340,29892,54,3,4218
341,6246,1865,2,24669
342,27075,1831,1,20399
343,20782,311,4,1941
344,22001,1369,2,20319
345,20588,20,1,9273
346,16923,252,2,18843
347,29575,1721,4,21571
348,23749,70,4,21010
349,4075,126,2,20041
350,4904,1673,2,16677
351,12038,1130,3,24579
352,22343,1817,4,9534
353,4877,414,2,5705
354,20060,1014,3,21131
355,8878,1164,1,20330
356,17114,1084,5,23482
357,16652,572,4,15834
358,24495,1857,2,22786
359,6142,969,2,6304
360,29029,1503,4,3124
361,13019,1642,4,9111
362,17022,426,5,16011
363,7704,1720,3,23113
364,29860,1425,2,14415
365,23684,1449,5,15607
366,12677,64,2,11782
367,21753,1689,1,3663
368,904,244,3,10442
369,5359,1714,3,19200
370,1768,1636,4,17557
371,8954,1243,5,18151
372,25585,293,5,19245
373,10252,480,5,15640
374,18092,1416,4,18256
375,16506,1655,1,2394
376,18175,1132,1,20990
377,12076,157,5,4118
378,7550,1074,1,11818
379,15187,492,4,11996
380,22720,651,5,13217
381,25524,1430,2,17340
382,7006,350,1,12559
383,9838,649,2,2565
384,28832,1896,4,21219
385,12183,248,5,18913
386,22411,1224,3,5400
387,7836,425,1,4715
388,14851,1675,4,18143
