product_id,name,price,category_id
1,創傷_トリビュート_0,2566,7
2,尊敬する_学生_1,13168,4
3,サラダ_リンク_2,7748,5
4,極端な_バーゲン_3,23592,3
5,欠乏_クール_4,24933,7
6,私_パン_5,7044,4
7,ささやき_持ってる_6,21605,6
8,奨励します_持っていました_7,8111,4
9,合計_リフト_8,19750,5
10,コミュニティ_バケツ_9,24253,2
11,叔父_立派な_a,4818,5
12,学生_偏差_b,18623,5
13,再現する_ベルベット_c,15156,1
14,トリビュート_クルー_d,9423,4
15,それ_販売_e,21845,7
16,擁する_目的_f,3394,5
17,プラスチック_午前_10,2607,4
18,見落とす_ヒール_11,4855,1
19,バーゲン_持っていました_12,3891,7
20,ヘア_転倒_13,1590,7
21,ブランチ_ボトル_14,18264,6
22,バケツ_トーン_15,7072,5
23,ベルベット_不自然な_16,3694,7
24,必要_仕上げ_17,24673,4
25,埋め込む_チーズ_18,4340,4
26,埋め込む_持ってる_19,8228,4
27,オークション_ヘア_1a,19376,7
28,バケツ_欠乏_1b,24469,7
29,敵_デッド_1c,18994,7
30,カレッジ_管理する_1d,8838,3
31,カレッジ_衝突_1e,24062,1
32,緩む_狐_1f,7220,6
33,は_私_20,18585,6
34,式_分割_21,4124,6
35,狭い_リニア_22,9611,7
36,不自然な_中世_23,2029,1
37,奨励します_それ_24,16811,1
38,腐った_連続_25,23134,4
39,呼ぶ_電話_26,10192,3
40,擁する_私_27,4961,1
41,暖かい_柔らかい_28,1860,3
42,反射_叔父_29,24794,5
43,拡張_バケツ_2a,5623,1
44,賞賛する_革新_2b,17710,3
45,欠乏_楽しんで_2c,22892,7
46,陶器_ストレージ_2d,23618,1
47,中世_尿_2e,3312,2
48,数字_鉱山_2f,2730,1
49,キャビネット_擁する_30,3558,7
50,意図_溝_31,23311,2
51,カラム_部隊_32,2925,7
52,スペル_トリビュート_33,18393,2
53,ヒット_販売_34,7594,3
54,賞賛する_反射_35,11165,7
55,シェービング_追放する_36,11264,3
56,偏差_パイオニア_37,6393,2
57,教会_教会_38,20140,4
58,叔父_マリン_39,7343,3
59,タワー_バナー_3a,11739,1
60,同行_あった_3b,14905,7
61,錯覚_運_3c,5823,3
62,再現する_偏差_3d,6707,3
63,普通の_品質_3e,13513,6
64,装置_自体_3f,12713,5
65,埋め込む_あなた自身_40,5125,4
66,目的_賞賛する_41,9523,1
67,憲法_尿_42,10650,5
68,彼女_クロス_43,18464,4
69,保持する_符号_44,18862,3
70,じぶんの_状況_45,12817,4
71,ジャーナル_尊敬する_46,10960,7
72,埋め込む_高い_47,6431,6
73,キャビン_バケツ_48,22617,1
74,コピー_通行料金_49,12535,2
75,衝突_欠乏_4a,19308,7
